year,zone_id,zone_type,name,image_count,valid_pixel_count,total_pixel_count,valid_coverage_percent
2010,natural_01,natural,Natural mountain,8,4310.784313725495,4310.784313725495,100.0
2010,urban_01,urban,Leh urban settlement,8,16741.58823529411,16741.58823529411,100.0
2011,agriculture_01,agricultural,Irrigated agricultural land,13,3262.3882352941155,3262.3882352941155,100.0
2011,aoi_leh_immediate,aoi,Leh town and immediate surroundings,13,38054.058823529376,38054.058823529376,100.0
2011,natural_01,natural,Natural mountain,13,4310.784313725495,4310.784313725495,100.0
2011,urban_01,urban,Leh urban settlement,13,16741.58823529411,16741.58823529411,100.0
2012,agriculture_01,agricultural,Irrigated agricultural land,4,3262.3882352941155,3262.3882352941155,100.0
2012,aoi_leh_immediate,aoi,Leh town and immediate surroundings,4,38054.058823529376,38054.058823529376,100.0
2012,natural_01,natural,Natural mountain,4,4310.784313725495,4310.784313725495,100.0
2012,urban_01,urban,Leh urban settlement,4,16741.58823529411,16741.58823529411,100.0
2013,agriculture_01,agricultural,Irrigated agricultural land,12,3262.3882352941155,3262.3882352941155,100.0
2013,aoi_leh_immediate,aoi,Leh town and immediate surroundings,12,38054.058823529376,38054.058823529376,100.0
2013,natural_01,natural,Natural mountain,12,4310.784313725495,4310.784313725495,100.0
2013,urban_01,urban,Leh urban settlement,12,16741.58823529411,16741.58823529411,100.0
2014,agriculture_01,agricultural,Irrigated agricultural land,11,3262.3882352941155,3262.3882352941155,100.0
2014,aoi_leh_immediate,aoi,Leh town and immediate surroundings,11,38054.058823529376,38054.058823529376,100.0
2014,natural_01,natural,Natural mountain,11,4310.784313725495,4310.784313725495,100.0
2014,urban_01,urban,Leh urban settlement,11,16741.58823529411,16741.58823529411,100.0
2015,agriculture_01,agricultural,Irrigated agricultural land,10,3262.3882352941155,3262.3882352941155,100.0
2015,aoi_leh_immediate,aoi,Leh town and immediate surroundings,10,38054.058823529376,38054.058823529376,100.0
2015,natural_01,natural,Natural mountain,10,4310.784313725495,4310.784313725495,100.0
2015,urban_01,urban,Leh urban settlement,10,16741.58823529411,16741.58823529411,100.0
2016,agriculture_01,agricultural,Irrigated agricultural land,14,3262.3882352941155,3262.3882352941155,100.0
2016,aoi_leh_immediate,aoi,Leh town and immediate surroundings,14,38054.058823529376,38054.058823529376,100.0
2016,natural_01,natural,Natural mountain,14,4310.784313725495,4310.784313725495,100.0
2016,urban_01,urban,Leh urban settlement,14,16741.58823529411,16741.58823529411,100.0
